NP_570602.2	A1BG
NP_064627.1	KIF15
NP_064628.1	TOMM22
NP_064629.2	CHPT1
NP_064630.2	TULP4
NP_064631.2	SLC12A9
NP_064632.2	COQ8A
NP_064633.1	CTNNBIP1
NP_891550.1	ADAMTS9
NP_064571.1	SDHAF3
NP_064577.1	YAE1
NP_064583.2	CCDC47
NP_064707.1	ACKR3
NP_660201.1	CABP4
NP_064695.3	AKR1B10
NP_064708.1	COQ9
NP_064703.1	CCNL1
NP_064709.2	CIAPIN1
NP_064710.5	VPS35L
NP_064711.1	PDXP
NP_064705.1	SLC17A7
NP_064713.3	RSRP1
NP_064715.1	ANKMY2
NP_064716.2	RARS2
NP_065699.1	TWSG1
NP_001382366.1	PLSCR2
NP_065093.2	PLSCR3
NP_065101.1	UTP3
NP_065135.2	CHRNA10
NP_065097.2	DAZ3
NP_001376232.1	DAZ2
NP_001071121.1	TBX20
NP_001167571.1	PCBP4
NP_065147.1	DDX24
NP_653091.3	KNL1
NP_065079.1	SLC17A6
NP_065083.3	AGTRAP
NP_065086.2	PLSCR4
NP_065087.1	ENTPD7
NP_065089.2	CASS4
NP_065090.1	PCNP
NP_065091.1	TRIM49
NP_065094.3	CPA6
NP_065095.2	PITHD1
NP_065099.3	RPGRIP1
NP_065100.2	PARP11
NP_065104.1	AVEN
NP_001351720.1	ANO2
NP_065107.1	C12orf4
NP_065108.1	TIGAR
NP_065109.1	PNPLA2
NP_001295405.1	CYSLTR2
NP_065111.1	NAT14
NP_065114.3	PDSS2
NP_065118.2	REXO4
NP_065119.3	PLAAT1
NP_065120.2	RAB25
NP_065122.1	TRPC7
NP_065126.2	PGLYRP4
NP_065127.5	ZNF695
NP_065128.2	INTS12
NP_705718.1	CAMK1D
NP_065131.1	EPPIN
NP_065132.1	GOPC
NP_065133.1	LPAR5
NP_065134.1	NUP107
NP_065137.1	CD248
NP_065138.2	PLXDC1
NP_065139.2	CD177
NP_065140.3	RHBG
NP_065141.3	LYRM4
NP_065142.2	MRPL47
NP_065143.2	ATP13A1
NP_065145.2	CHMP1B
NP_065112.1	MAN1C1
NP_001375413.1	DAZ4
NP_065392.1	APMAP
NP_001030300.3	RGL3
NP_060696.4	RNPEPL1
NP_065393.1	RTN4
NP_065154.2	ADCK1
NP_817127.1	PAK5
NP_001288700.1	LDAF1
NP_065156.5	SCYL3
NP_065069.1	RALGAPB
NP_001121774.1	LYRM1
NP_001035958.1	SMIM8
NP_065159.1	LYZL6
NP_065160.1	SLURP1
NP_065161.3	SLC44A2
NP_851994.1	SMURF1
NP_065164.2	TMEM63C
NP_001382201.1	PHTF2
NP_065166.2	JPH2
NP_912730.2	TRIM54
NP_067078.1	PELI2
NP_065702.2	PELI1
NP_065168.2	GJC2
NP_065169.1	SALL4
NP_065170.2	ASPHD2
NP_066363.1	ZNFX1
NP_065171.2	DOLPP1
NP_065172.1	CAMK1G
NP_065174.1	CORO1B
NP_065175.4	VARS2
NP_065071.1	ZMIZ1
NP_065177.2	KIAA1191
NP_065178.1	ACTR3B
NP_065075.1	SLC39A10
NP_065070.1	ANKRD50
NP_065180.1	FAM219B
NP_065181.1	NIPAL3
NP_065076.2	RALGAPA2
NP_001075019.1	THOC2
NP_997400.2	ADAMTSL3
NP_001073861.1	DENND11
NP_065184.2	SELENON
NP_065684.1	VN1R1
NP_065394.1	MCOLN1
NP_077816.1	ATP10A
NP_001357526.1	ATP8B2
NP_065186.3	ATP10D
NP_066383.1	ZNF248
NP_001273575.1	SLC45A4
NP_940971.2	ADGRG6
NP_065189.1	SPRYD7
NP_001280227.1	CEMIP
NP_065190.2	THAP11
NP_065068.1	VANGL2
NP_065191.2	TTC7A
NP_065073.3	ARFGEF3
NP_001026881.1	ERGIC1
NP_001116436.3	PPP4R3B
NP_001137532.1	NHSL1
NP_065199.1	LYRM2
NP_001026798.1	SMAGP
NP_722523.1	SNX14
NP_001269130.1	ZNF630
NP_001171486.1	SLC4A10
NP_065396.1	KIR2DL5A
NP_001379002.1	KAT14
NP_065385.2	PBXIP1
NP_065700.1	CBX8
NP_065701.2	RCN3
NP_001124314.1	ZNF286A
NP_065704.2	ZNF287
NP_065705.3	SENP7
NP_065706.2	JPH3
NP_065708.2	ZNF304
NP_065710.1	TTYH1
NP_065711.1	GJD2
NP_065712.1	AICDA
NP_065713.1	MRS2
NP_065714.1	RHOJ
NP_065716.1	CLTRN
NP_065717.1	CLK4
NP_065723.1	S100A14
NP_065724.1	RAB22A
NP_803882.1	CYP20A1
NP_065726.1	SPC25
NP_001307055.1	ABHD6
NP_065728.1	NMRAL1
NP_065729.1	LRTM1
NP_001357521.1	MIF4GD
NP_065731.3	SCYL1
NP_065733.2	AS3MT
NP_065734.5	TMIGD3
NP_001035546.1	RHBDD2
NP_001278870.1	CEP15
NP_077005.2	WDR18
NP_065740.2	SLC24A3
NP_114402.1	NDRG3
NP_001307258.1	NDRG2
NP_057336.3	BIRC6
NP_065682.2	PLEKHG5
NP_001382389.1	TENM2
NP_001161840.1	GALNT16
NP_065744.3	DSCAML1
NP_065746.3	REXO1
NP_065747.1	KIAA1143
NP_065749.3	TMCC3
NP_065750.1	GATAD2B
NP_065751.1	PPM1H
NP_065752.1	ISY1
NP_065753.2	MYORG
NP_065754.2	AMIGO1
NP_065755.1	STRIP2
NP_001186036.1	TBC1D24
NP_065757.1	SCAF4
NP_065758.3	HHATL
NP_065759.1	SLC12A5
NP_065760.1	PNMA8B
NP_065761.1	LRRC47
NP_065762.1	ERMN
NP_001357401.1	CNOT6
NP_065764.1	ZNF512B
NP_065765.1	ZNF490
NP_065766.1	PLEKHH1
NP_001373954.1	GRAMD1B
NP_065768.2	SHROOM4
NP_065769.3	USP31
NP_065770.1	PRR12
NP_001025055.1	PLEKHG1
NP_001381891.1	KIAA1210
NP_001380310.1	CRACD
NP_065775.1	RNF150
NP_065777.1	NLN
NP_001354702.1	ESYT2
NP_001353710.1	ODF2L
NP_001364165.1	AHRR
NP_001361757.1	ARID1B
NP_065784.1	HEG1
NP_001284705.1	RIMKLB
NP_001138462.1	NWD2
NP_001295071.1	MRTFB
NP_065788.1	LRFN2
NP_065789.1	KIDINS220
NP_001381019.1	CFAP92
NP_851849.1	NLGN4X
NP_001317371.1	MTA3
NP_065796.2	AARS2
NP_065797.2	MAVS
NP_065798.2	ZNF608
NP_001338624.2	INTS2
NP_001349988.1	MTUS1
NP_065801.1	XPO5
NP_065802.1	COG6
NP_065803.2	GPR158
NP_065804.2	CASKIN2
NP_065805.2	ARHGAP31
NP_065806.1	SERINC1
NP_065810.2	STARD9
NP_001335697.1	HECW2
NP_065812.1	RPTOR
NP_065813.1	SRGAP1
NP_079357.2	NYNRIN
NP_065815.1	CASKIN1
NP_001171809.1	PCDH19
NP_065819.1	KCTD16
NP_001372378.1	RTL9
NP_065821.1	CGN
NP_065822.2	HACE1
NP_065823.1	NUFIP2
NP_065824.2	TBC1D14
NP_065825.1	MIB1
NP_065826.3	ELAPOR1
NP_065827.1	KIAA1328
NP_065828.2	SORCS2
NP_065829.4	ALPK3
NP_065830.2	WDR35
NP_001006658.1	WDR35
NP_065831.1	DISP3
NP_733787.1	ZNF398
NP_065833.1	KLHL42
NP_065835.2	TXNDC16
NP_001365544.1	CC2D2A
NP_065837.1	PDP2
NP_065838.2	ZNF624
NP_001128522.1	IGSF9
NP_065842.1	TAOK1
NP_065843.4	NCEH1
NP_056056.2	MICAL3
NP_001357714.1	LRRC7
NP_065846.1	NLGN2
NP_065847.1	SEMA6A
NP_065849.1	USP35
NP_065850.1	STAMBPL1
NP_065851.1	IFT80
NP_065852.1	ARRDC3
NP_065853.3	CEP126
NP_065854.3	KLHL8
NP_065856.1	KLHL14
NP_065858.1	ZNF319
NP_065859.3	SIPA1L2
NP_001371586.1	ARHGAP20
NP_065861.3	TRMT5
NP_001159694.1	CARNS1
NP_065863.2	DOCK6
NP_065864.2	ZNF471
NP_065865.1	MARCHF4
NP_116586.1	PCDH10
NP_001116291.1	KIF17
NP_065868.1	CCDC191
NP_001382088.1	UNC79
NP_001156001.1	FAM135A
NP_065871.3	PREX1
NP_065873.2	KCNT1
NP_001363781.1	TMEM181
NP_065875.3	ARHGAP21
NP_065876.3	CRAMP1
NP_065877.1	SYT13
NP_065878.1	CFAP97
NP_065880.2	RIC1
NP_065881.1	WDFY1
NP_065882.2	MRTFA
NP_065883.1	ZNF687
NP_001382096.1	EBF4
NP_065885.2	HOMEZ
NP_001290441.1	PDZD4
NP_001372018.1	BEGAIN
NP_001364377.1	BAHCC1
NP_065890.1	WDR48
NP_065891.1	FNIP2
NP_001372103.1	USP36
NP_065895.2	TRMT9B
NP_065896.1	PITPNM2
NP_065897.1	SLAIN2
NP_065899.1	JCAD
NP_775873.2	DIP2B
NP_065901.1	RANBP10
NP_065902.1	ISLR2
NP_065904.1	FAM234B
NP_001333160.1	RELCH
NP_065906.1	ZNF492
NP_065907.2	TSHZ3
NP_065908.1	VPS18
NP_065910.3	SHROOM3
NP_065911.3	STIM2
NP_065912.1	ZBTB2
NP_065913.1	LRFN1
NP_065914.2	ZFAT
NP_001358202.1	NYAP2
NP_065917.1	KLHL1
NP_065919.3	DPP10
NP_065921.2	SH3RF1
NP_065922.3	LRCH2
NP_065924.3	LRRN1
NP_056224.3	EP400
NP_001186346.1	ARHGAP23
NP_065930.2	CCDC146
NP_065933.2	COL20A1
NP_065934.1	ZSWIM5
NP_065935.4	MYH7B
NP_060012.3	POGK
NP_001333181.1	USP28
NP_116045.2	DHX37
NP_065939.2	NHSL3
NP_001028733.1	PHF12
NP_065941.2	CIP2A
NP_065945.2	UVSSA
NP_065946.2	GRAMD1A
NP_065948.1	HCN3
NP_065949.1	CALCOCO1
NP_001122305.1	ZBTB4
NP_001273510.1	PHRF1
NP_065953.1	CAMSAP3
NP_065954.1	USP29
NP_065955.2	PLEKHA4
NP_065956.1	RDH14
NP_001354800.1	FBRSL1
NP_065960.2	EPB41L5
NP_001158137.1	KIAA1549
NP_001354243.1	BEND3
NP_001243000.2	RNF213
NP_065968.1	ZFP14
NP_001231878.1	GPAM
NP_065970.2	ALS2
NP_001164100.1	CHD8
NP_065974.1	ZDBF2
NP_065975.1	ZBTB26
NP_065976.3	CACHD1
NP_065978.1	VAT1L
NP_065979.1	ZSWIM6
NP_001245348.1	LRRC4C
NP_001136112.2	TNRC6C
NP_065982.1	KIAA1586
NP_065983.1	MAGEE1
NP_065984.3	ZNF317
NP_065986.3	USP37
NP_065987.1	DDX55
NP_065988.1	FANCM
NP_001120683.1	SHTN1
NP_065990.1	CPNE5
NP_065991.3	FHIP2A
NP_001032895.2	NCKAP5L
NP_065994.1	CWC22
NP_065995.1	GBA2
NP_001381460.1	WDFY4
NP_001339893.1	DENND1A
NP_065998.3	MEAK7
NP_001071168.2	MIER1
NP_066000.2	SLC7A14
NP_066001.1	KIAA1614
NP_066002.3	ZNF529
NP_001374818.1	SFMBT2
NP_060363.2	SEMA4G
NP_870998.2	PRX
NP_066008.2	PCDHB16
NP_478144.1	PPP4R4
NP_066010.1	ANO8
NP_066011.2	GPR107
NP_066012.1	METTL14
NP_066013.1	IGDCC4
NP_066015.2	EPG5
NP_066018.1	NCOA5
NP_079408.3	WDR19
NP_001380868.1	ANKRD36B
NP_066022.2	SPTBN4
NP_066023.2	ZFYVE28
NP_066024.1	GBA3
NP_001354906.1	SCUBE2
NP_066981.2	TRIB3
NP_075526.1	ANKRA2
NP_066986.1	RBAK
NP_001186796.1	MARK4
NP_757386.2	SUGP1
NP_066988.1	BRINP2
NP_066990.3	GATAD1
NP_066991.3	RAB40C
NP_066993.1	HES4
NP_066996.3	POLD4
NP_001380926.1	CCAR2
NP_066998.1	HAMP
NP_066999.1	G6PC2
NP_067000.1	LSM2
NP_067001.3	CCNB1IP1
NP_001287898.1	CCDC181
NP_937816.1	GRHL3
NP_067004.3	SLAMF7
NP_067005.1	HMHB1
NP_001258115.1	RAP2C
NP_067007.3	C6orf47
NP_067008.3	CATSPERG
NP_067009.1	ZP4
NP_066384.2	KRTAP5-8
NP_067010.3	CYP4F11
NP_597812.1	SLC4A5
NP_067011.1	ZNF410
NP_001120645.1	CADM3
NP_149040.3	SLC46A2
NP_067013.1	PTBP2
NP_067080.1	NGB
NP_067014.2	NEUROD4
NP_067020.2	WFDC1
NP_067021.1	CTDSP1
NP_001373738.1	CXCL16
NP_067022.1	SQOR
NP_067023.1	PLEKHB1
NP_067024.1	MS4A7
NP_067025.1	TP53INP2
NP_001366242.1	SRPRB
NP_067027.1	ENOPH1
NP_067028.1	RHOU
NP_001186067.1	NLRC4
NP_067033.1	TRAPPC1
NP_001137139.1	ZBED5
NP_001034707.1	CREBZF
NP_067036.2	PCTP
NP_067037.1	ABHD17C
NP_067038.1	RPRD1B
NP_001357144.1	ZNF71
NP_067040.1	ZNF77
NP_067041.1	INIP
NP_067042.1	JAM2
NP_067043.2	OVOL2
NP_067044.2	LY6G5B
NP_067045.1	PRUNE1
NP_067046.1	MYL7
NP_067047.4	ZNF462
NP_001103159.1	ZNF250
NP_067048.4	OPRPN
NP_067049.2	ARHGAP22
NP_067050.1	OSTC
NP_067051.2	SCAF1
NP_733751.2	KMT2C
NP_001074012.1	CACTIN
NP_067055.2	PRODH2
NP_067056.2	DNASE2B
NP_001073887.1	DLGAP3
NP_001245303.1	EPS15L1
NP_067060.2	SELENOK
NP_001129284.1	SINHCAF
NP_067062.1	RBM25
NP_067063.1	DMRT3
NP_001358518.1	WIZ
NP_067065.1	MID1IP1
NP_067066.1	ABRACL
NP_067067.1	RRAGD
NP_067068.1	MYOZ1
NP_067069.2	LY6G6D
NP_067070.2	PRM3
NP_689419.3	SNX6
NP_149055.2	MPP4
NP_067081.2	IL22RA1
NP_067082.2	PGAP6
NP_068575.1	IL21
NP_067546.1	CARD18
NP_001277001.1	ENPP5
NP_078779.2	HIVEP3
NP_478067.2	EVA1C
NP_001358344.1	ACE2
NP_072088.1	TLNRD1
NP_067052.2	NTN4
NP_114101.4	CACNG8
NP_114102.2	CACNG7
NP_665813.1	CACNG6
NP_001041706.1	UBL5
NP_001128526.1	SIGIRR
NP_067632.2	PRDM12
NP_067633.2	PRDM13
NP_001001974.1	PLEKHA1
NP_067636.1	PLEKHA2
NP_067637.2	HRH4
NP_067638.3	TRPV4
NP_067639.1	SCPEP1
NP_067640.2	SENP2
NP_067641.2	ALOXE3
NP_067642.1	GNB4
NP_067645.3	ZNF350
NP_067646.1	KLHL12
NP_067647.2	RXFP1
NP_067648.1	PBOV1
NP_001017403.1	LGR6
NP_067650.1	TMEM35A
NP_001128119.1	AFAP1
NP_067652.1	GPBP1L1
NP_067653.4	MYG1
NP_068578.2	FAM3A
NP_068378.2	AVPI1
NP_068379.1	TSKS
NP_001119593.1	SLC25A19
NP_068555.2	EDA2R
NP_068579.3	EXOC4
NP_068581.1	TGIF2
NP_817089.1	CDH26
NP_068585.1	BACH2
NP_068586.1	ELOVL5
NP_068587.1	SLC5A7
NP_068589.1	HAPLN2
NP_068590.1	SAV1
NP_001026882.2	TRMT11
NP_068593.2	MRPS35
NP_068594.1	APOBEC3G
NP_068595.3	PPCDC
NP_001356370.1	NIF3L1
NP_068597.2	CCDC90B
NP_068598.1	FASTKD5
NP_001149946.1	CCDC81
NP_068600.4	HPSE2
NP_056238.2	AASDHPPT
NP_001365406.2	NYX
NP_068603.4	AGBL5
NP_068744.1	LDAH
NP_060597.4	ELAC2
NP_068745.2	ALX4
NP_068746.2	GUF1
NP_068747.1	SPCS3
NP_078911.3	NAA35
NP_068749.3	RINT1
NP_001146956.2	SCOC
NP_071753.2	KCNK15
NP_068750.2	DHX35
NP_001273063.1	RIC8A
NP_068752.2	MIIP
NP_068753.2	ATG101
NP_001119600.1	PROK2
NP_064714.2	PAPPA2
NP_443072.3	CELF6
NP_068756.2	EEFSEC
NP_068757.2	CELF5
NP_068758.3	FKBP10
NP_001037770.1	SMAP1
NP_068761.4	TRAPPC11
NP_068762.1	ZFAND3
NP_068763.2	C14orf93
NP_056297.1	SLC22A23
NP_001366380.1	BCORL1
NP_254275.1	CELA2A
NP_068766.1	SRR
NP_068767.3	BCAN
NP_071343.2	ABHD4
NP_071344.1	MRPL17
NP_001369252.1	PKNOX2
NP_071346.1	FAM204A
NP_071347.2	RNF123
NP_071348.3	THADA
NP_071349.3	UBE2O
NP_001180244.1	VIPAS39
NP_001365112.1	PIEZO2
NP_071353.4	HEATR6
NP_071354.2	SH2D4A
NP_071355.1	NSUN3
NP_001299838.1	FAM111A
NP_071359.3	DUSP21
NP_001003897.1	MANBAL
NP_071361.2	GPATCH3
NP_071363.1	NAPB
NP_071365.4	SLC17A9
NP_958437.1	BLOC1S5
NP_573403.1	ELMO2
NP_071370.2	GALNT11
NP_071373.2	FAM200C
NP_071375.1	CHTF18
NP_071376.1	TNN
NP_001308071.1	CIDEC
NP_071378.1	ZNF335
NP_071379.3	ANKEF1
NP_071380.1	CHP2
NP_071381.1	XPNPEP3
NP_071383.1	MRPS14
NP_071384.1	STEEP1
NP_001026883.1	MCUR1
NP_001308285.1	ZNF667
NP_071387.1	PCIF1
NP_071389.1	FAM217B
NP_001263430.1	GPSM3
NP_112509.3	NECAB3
NP_071393.2	FKBPL
NP_001035373.1	DMRTC2
NP_149042.2	DMRTC1
NP_149056.1	DMRTB1
NP_115486.1	DMRTA2
NP_071443.2	DMRTA1
NP_071394.2	CLSPN
NP_071395.2	TP53AIP1
NP_071396.4	KIF13A
NP_076924.1	NEUROG2
NP_073565.2	NEUROD6
NP_071397.3	PRDM16
NP_001035514.2	PRDM15
NP_078780.1	PRDM14
NP_001274421.1	FIGNL1
NP_113606.2	ANO3
NP_149043.2	MYO1G
NP_071400.1	TSPYL2
NP_001353664.1	RBM26
NP_071402.1	PRSS22
NP_071403.1	OXCT2
NP_071404.2	PERP
NP_071405.2	MMP27
NP_001158221.1	NPAS3
NP_071407.4	CDH23
NP_277055.1	C19orf33
NP_071409.3	LHPP
NP_001186562.1	SLC28A3
NP_071411.1	RBKS
NP_071412.2	PBLD
NP_071413.1	GOLPH3
NP_071414.2	CLSTN2
NP_071415.1	MCCC2
NP_690049.1	SNX16
NP_071417.2	GAL3ST2
NP_001356848.1	POPDC2
NP_071419.3	SAMSN1
NP_001030024.1	SMOC1
NP_001159884.1	SMOC2
NP_071422.1	GFRA4
NP_071423.4	EPB41L4A
NP_071424.1	PARVG
NP_071425.3	ELSPBP1
NP_071426.1	LRRC4
NP_071427.2	TNMD
NP_071428.2	CENPK
NP_071429.1	NPFFR1
NP_071430.2	RTP4
NP_071431.2	CRLF2
NP_071432.2	MAGEF1
NP_071433.3	NPVF
NP_071434.2	MOAP1
NP_071435.2	TMBIM1
NP_071436.1	VSIR
NP_001128618.1	SLC39A8
NP_071439.3	DUS1L
NP_071440.1	RRAGC
NP_071441.1	FN3K
NP_071442.2	ADGRL4
NP_001357395.1	NOD2
NP_071447.1	TINAGL1
NP_071448.1	LIN7B
NP_071449.1	XYLT1
NP_071450.2	XYLT2
NP_071451.2	IFIH1
NP_071452.2	ABCG4
NP_071735.2	RBSN
NP_071736.1	PDF
NP_878905.2	KIF9
NP_071739.2	C17orf75
NP_071741.2	NCAPG
NP_071745.1	ERAP2
NP_071746.1	NECAB1
NP_434700.2	CARD9
NP_071748.2	OSGEPL1
NP_071750.1	DPEP2
NP_071751.3	P3H1
NP_001357127.1	DPEP3
NP_071755.1	EDDM3B
NP_078772.1	IRF2BPL
NP_071756.2	POPDC3
NP_071757.4	MMS19
NP_071758.1	LHX5
NP_071760.2	DNAJC1
NP_071761.1	TFB2M
NP_071762.2	SEMA4A
NP_001027568.1	PJA1
NP_071764.3	STRA6
NP_071765.2	ROBO3
NP_071766.2	TOR3A
NP_071767.3	MLST8
NP_071768.3	HERPUD2
NP_001129145.1	ATL2
NP_071744.2	MS4A6A
NP_076434.2	MS4A5
NP_001355049.1	PDLIM2
NP_071881.1	ABCG5
NP_071882.1	ABCG8
NP_001352253.1	TENT4B
NP_001171164.1	ARHGEF28
NP_071894.1	RAB17
NP_071895.3	RHBDF1
NP_112161.3	ZSCAN31
NP_071896.8	NOC3L
NP_001098549.2	FBRS
NP_071898.2	RNF25
NP_071899.1	SOX17
NP_071900.2	NSD1
NP_071902.2	COP1
NP_071903.2	LMBR1
NP_071904.4	XPO4
NP_113607.1	NFKBIZ
NP_115885.2	ARHGAP9
NP_071905.3	HS1BP3
NP_071906.1	AZI2
NP_690008.2	HIF3A
NP_071908.2	NXN
NP_071909.1	SIL1
NP_071910.3	IKZF4
NP_001359052.1	IKZF5
NP_001121367.1	CHST8
NP_071913.1	MMP25
NP_071914.3	GREM2
NP_071915.1	ZMAT3
NP_848526.1	GMCL1
NP_001344937.1	GMCL2
NP_001353774.1	ZNF106
NP_071919.2	PALS1
NP_071920.1	HHIP
NP_071921.1	AKTIP
NP_659422.2	CDH24
NP_067071.1	CDH22
NP_570138.1	RGS18
NP_071924.1	GALNT17
NP_071925.2	KLHL25
NP_071926.4	ARAP3
NP_071927.1	GZF1
NP_071928.2	TMEM267
NP_071929.3	TMEM168
NP_001070993.1	MTMR14
NP_071931.2	SUSD1
NP_001029027.1	DCLRE1C
NP_071933.2	ATG3
NP_071934.3	INF2
NP_071935.1	POLR1E
NP_071936.2	SUDS3
NP_071937.4	TTC31
NP_071938.1	CIAO3
NP_071939.1	ZDHHC6
NP_001317106.1	PCNX4
NP_071941.1	ACTR6
NP_071942.1	MRPS25
NP_612409.1	NOM1
NP_075462.3	DNAI2
NP_150094.5	CSMD1
NP_077078.5	TPSB2
NP_001352171.1	CPEB1
NP_114104.1	TEKT3
NP_072090.1	ALDH8A1
NP_072091.1	NDST4
NP_922938.1	CLEC7A
NP_072093.2	GPR135
NP_072095.2	TSPY2
NP_076438.1	MOSPD3
NP_001362694.1	GIGYF1
NP_073730.3	PLA2G2F
NP_072097.2	VPS16
NP_073150.2	EBF2
NP_149044.2	MFSD14A
NP_115793.1	SPANXD
NP_149016.2	CSRNP1
NP_073152.2	SPANXC
NP_073153.1	ANAPC1
NP_114105.1	GORASP1
NP_758441.2	CTAGE1
NP_001243246.1	TMPRSS3
NP_073567.1	COPS7B
NP_073568.2	NUCKS1
NP_001009606.3	HS3ST6
NP_006840.2	PDIA2
NP_001359036.1	UNKL
NP_001334146.1	WDR13
NP_073570.1	SMAP2
NP_073571.1	METTL17
NP_073572.2	ACBD3
NP_073573.3	MFSD1
NP_001380821.1	PLPPR2
NP_073576.1	SMURF2
NP_073579.5	CCDC136
NP_001161212.1	SMYD3
NP_073581.2	RUSF1
NP_001381494.1	ATPAF1
NP_073583.3	MTARC1
NP_073585.8	TNS3
NP_073586.5	FHIP2B
NP_073587.1	PARP12
NP_001229338.1	GAREM1
NP_073589.4	ZNF574
NP_919047.2	CREB3L2
NP_073590.2	S100PBP
NP_073592.1	IPPK
NP_001257804.1	MEAF6
NP_001353264.1	CCDC14
NP_077270.1	ILRUN
NP_001036038.1	ENGASE
NP_073597.2	PCED1A
NP_073598.1	CFAP68
NP_073599.2	RMND5B
NP_073600.3	FNDC3B
NP_001152849.1	MTHFSD
NP_073602.3	MICAL1
NP_073603.2	CERK
NP_073604.3	AEN
NP_073605.4	RBM15
NP_073606.3	CRTC3
NP_073607.2	GINS3
NP_001139685.2	TBC1D15
NP_073609.2	EPS8L2
NP_073610.2	LMF1
NP_001333882.1	EXO5
NP_073614.1	IFT22
NP_001306873.1	CEP85
NP_073616.7	DDX31
NP_073617.1	RMND5A
NP_073620.2	DEPTOR
NP_001026885.2	IQCH
NP_073622.2	EFCAB6
NP_073623.1	ARV1
NP_073624.2	NMNAT1
NP_073625.1	P2RY12
NP_758525.1	IL25
NP_476436.1	CYP3A43
NP_073732.1	ELOVL1
NP_001305663.1	KLC2
NP_073734.1	FNDC4
NP_001156787.2	FBXL17
NP_982301.1	PORCN
NP_932332.1	GNPNAT1
NP_665804.1	ISL2
NP_001269734.1	MARCHF7
NP_073738.2	SPATA20
NP_073739.3	YTHDC2
NP_073740.2	SLC13A3
NP_112569.2	ETNPPL
NP_073741.3	TUT1
NP_073742.2	AIDA
NP_073743.2	USP46
NP_073744.2	NIBAN2
NP_073745.2	VWA1
NP_073746.2	PLEKHG2
NP_073747.1	DCLRE1B
NP_001026886.1	NABP1
NP_001161950.1	ARMCX5
NP_073751.3	METTL4
NP_073752.6	RFX7
NP_073753.3	CDCP1
NP_073754.2	PCDH20
NP_075045.2	PAPOLG
NP_075046.1	C12orf43
NP_075047.1	LPIN3
NP_075048.1	RANBP17
NP_114106.1	AGXT2
NP_612808.1	BCL11B
NP_075051.4	CASD1
NP_075052.1	LRRC19
NP_075053.2	SLC30A5
NP_075054.3	CCDC71
NP_075055.1	RASAL3
NP_001275544.1	TTC23
NP_115487.2	MRPL14
NP_001127703.1	NT5DC2
NP_075060.1	CENPH
NP_110438.1	MRPS26
NP_114403.1	MRPS24
NP_112570.2	MRPS15
NP_073750.2	MRPS11
NP_872578.1	MRPS9
NP_115865.1	MRPS6
NP_114108.1	MRPS5
NP_115866.1	MRPL41
NP_003767.2	MRPL40
NP_115867.2	MRPL38
NP_115868.1	MRPL36
NP_076426.1	MRPL34
NP_114109.1	MRPL32
NP_057134.1	MRPL11
NP_113608.1	MRPL9
NP_064621.3	MRPL1
NP_001229764.1	NDRG4
NP_075062.2	SLC26A6
NP_115785.1	PINK1
NP_001358208.1	REEP1
NP_075064.1	GPBP1
NP_001075955.2	ACD
NP_998754.1	RAPH1
NP_001353315.1	CDK15
NP_001037850.1	TMEM237
NP_001364955.1	NBEAL1
NP_075380.1	RTN4R
NP_075066.1	MRPL44
NP_075067.2	VPS33A
NP_075068.2	NOL6
NP_075069.3	TMEM135
NP_075383.3	JMJD4
NP_075384.4	KRI1
NP_075385.1	MARCKSL1
NP_542199.1	UPF3B
NP_075387.1	UPF3A
NP_075388.2	RSRC2
NP_075389.2	PRAMEF1
NP_075390.1	PRAMEF2
NP_075391.3	INTS3
NP_075392.2	SOWAHC
NP_061852.3	WNK1
NP_998820.3	WNK1
NP_149045.3	PCDH15
NP_001371069.1	PCDH15
NP_075394.3	NADK
NP_075558.2	ZFP69B
NP_075559.2	SPATS2
NP_001354763.1	ZSWIM4
NP_001371661.1	CPLANE1
NP_075562.2	ZNF649
NP_075563.3	MPPE1
NP_075565.2	COA7
NP_075566.3	PYCR3
NP_075567.2	UBE2Z
NP_075568.1	C8orf33
NP_115763.2	WNK4
NP_065973.2	WNK3
NP_006639.3	WNK2
NP_001339318.1	STK33
NP_061964.3	PLEKHA3
NP_001041648.1	PHACTR4
NP_076413.3	BRD9
NP_001372432.1	CAPRIN2
NP_001139015.1	ZSCAN18
NP_076416.2	GRAMD2B
NP_076417.2	AACS
NP_001099009.1	ZBTB10
NP_076419.2	KCTD14
NP_001291947.1	ZNF747
NP_076421.2	DLK2
NP_076422.1	ANTKMT
NP_076423.2	FUNDC2
NP_076424.1	DDRGK1
NP_076425.1	MRPS34
NP_076429.1	RASL11B
NP_001138408.1	ZFTA
NP_001136400.1	LRRC61
NP_076432.1	TMEM108
NP_076433.3	CYP4F12
NP_803430.1	LYNX1
NP_076436.3	CHID1
NP_055864.2	TRAK2
NP_001020110.1	SLC2A11
NP_056273.2	MTMR9
NP_149019.1	BOLL
NP_076930.1	DUSP26
NP_001070883.2	CRELD1
NP_076931.1	MRPL57
NP_076932.1	COLEC11
NP_075601.1	OTUB2
NP_076933.3	PCYOX1L
NP_001308368.1	YIPF2
NP_076936.1	PRR14
NP_001164722.1	HROB
NP_076938.2	CYREN
NP_076939.3	GDAP1L1
NP_076941.2	LRFN4
NP_076942.1	AUNIP
NP_076869.1	VKORC1
NP_076943.1	TRIR
NP_001245146.1	MIS12
NP_076945.2	CUEDC2
