NP_001079.1	F1T0I5
NP_055320.4	Q86W47
NP_001167555.1	Q9UGP5
NP_055319.1	A0A024RDL6
NP_055321.1	O14657
NP_775738.3	Q8IVS2
NP_037365.2	Q9UEW8
NP_055323.2	Q9NRW3
NP_056519.1	Q6ICB0
NP_056520.2	B9A6J5
NP_037415.1	A0A140VJP2
NP_037379.1	A0A384MDW9
NP_001078816.2	Q5JU69
NP_037416.1	Q9NP87
NP_149061.1	Q9BXW7
NP_061936.3	Q9HC35
NP_114096.1	Q9BXQ6
NP_037371.2	Q9Y5P8
NP_037404.2	Q9UIG8
NP_057438.3	Q96BD0
NP_060065.2	A0A024R1Z4
NP_062818.1	Q9NPD5
NP_065078.1	Q9NYS0
NP_114097.2	Q9HBT6
NP_066976.1	Q9H159
NP_005609.3	A0A384P5C6
NP_067675.1	Q92519
NP_054734.2	O95424
NP_054736.1	Q9Y2Q5
NP_054731.2	O75628
NP_054727.1	A0A024QZ03
NP_054737.1	A0A0S2Z563
NP_001035521.1	A0A024R1X4
NP_001094782.1	A0A090N7V7
NP_054747.2	Q86WC4
NP_054745.1	A0A384MTI8
NP_001017372.1	Q9Y2P4
NP_054749.2	Q9Y2X7
NP_078960.1	Q9H7C9
NP_054754.1	Q9Y343
NP_001272998.1	A0A024R396
NP_054757.1	A0A024RA42
NP_054766.1	Q9UNZ5
NP_054760.4	A0A5F9YFS9
NP_054756.2	Q9GZN6
NP_054765.1	B0S7P4
NP_054769.1	A0A024RBG3
NP_054768.2	Q9H845
NP_054770.1	Q9Y6G1
NP_054774.2	A0A024RBJ1
NP_054777.2	Q9UL52
NP_054772.1	Q9Y5Y0
NP_054778.2	Q9H4X1
NP_054779.1	Q9ULC4
NP_054780.2	Q9H213
NP_054781.1	Q9ULX3
NP_001014436.1	Q9UJU6
NP_054783.2	A0A024R8E4
NP_054784.2	Q2TB18
NP_054785.2	Q9GZQ3
NP_054786.2	Q9BQ69
NP_054798.1	Q9UIH9
NP_955361.1	A0A024R4Y2
NP_054797.2	Q9BYD1
NP_054836.2	Q14CZ0
NP_001374635.1	Q8NDB6
NP_073577.3	Q9H2X6
NP_054868.3	A4D1P6
NP_054828.2	Q6PL18
NP_079212.2	Q9H5U6
NP_001288027.1	H7BY22
NP_054872.2	Q8IWR0
NP_001011551.1	Q96EU7
NP_054876.2	Q9H0I3
NP_054880.2	Q9H0U6
NP_054884.1	Q9P032
NP_054878.5	Q9BYW2
NP_054886.2	Q9P031
NP_054887.2	Q9NRN9
NP_054885.1	A0A024RDY7
NP_054888.3	Q9BY43
NP_054889.2	Q8N3Z3
NP_054891.2	Q9NRX4
NP_054893.1	A0A024R3M1
NP_054894.1	Q9P015
NP_054892.2	A0A024R7L2
NP_054895.1	A0A024R9A9
NP_001381339.1	Q8NFX7
NP_054899.2	Q9NWU5
NP_054896.2	A8K1K8
NP_054903.1	Q9P003
NP_054901.1	Q53FV1
NP_054900.2	Q3ZCW2
NP_054905.2	Q53FR9
NP_054906.2	Q9BTX3
NP_057576.2	Q9HD47
NP_037370.2	Q9Y5T4
NP_054907.1	Q9NP77
NP_037372.4	Q9Y5N5
NP_001369437.1	Q9NRR4
NP_037374.1	Q9Y6A4
NP_037390.2	Q9ULZ3
NP_037380.1	Q9UKK6
NP_037375.2	Q8WXD2
NP_037386.1	Q9UHD2
NP_037373.2	Q9Y613
NP_054789.2	M1T2K5
NP_037392.1	A0A024R8R0
NP_001008273.1	Q9UI15
NP_037394.2	Q8WY64
NP_037396.3	Q9UHL0
NP_037395.2	Q9NPI1
NP_037401.1	Q9UHP7
NP_037398.2	Q9UI47
NP_037400.1	Q9UHV8
NP_001316887.1	Q9P2W6
NP_054862.1	Q9NZQ7
NP_037402.1	A0A140VJY3
NP_001306928.1	A0A024R136
NP_037407.4	Q6UB99
NP_037446.1	Q8WV28
NP_037485.2	Q9NZQ9
NP_057307.2	Q9UKS6
NP_001041666.1	Q96T88
NP_055363.1	Q9NZR1
NP_055362.1	Q9NYL9
NP_037507.1	A0A024R029
NP_037459.2	Q9HBI1
NP_055365.2	Q9BWT7
NP_689512.2	Q6IBW4
NP_085125.1	Q96SQ9
NP_037473.3	Q9NTK5
NP_037519.2	Q9UDW1
NP_037445.1	O60688
NP_037510.1	Q9UKI3
NP_001310556.1	I3L202
NP_037505.1	Q9ULC8
NP_937825.2	Q9NZI5
NP_037474.1	A0A024R4Q5
NP_055368.1	Q9NZI6
NP_001254523.1	Q9P0U3
NP_055370.1	Q9NZQ8
NP_036224.1	Q53QY6
NP_037470.1	Q9Y673
NP_001072982.1	Q9NPG3
NP_037454.2	A0A024RA70
NP_037486.2	Q9UIV1
NP_037453.1	Q9Y5X2
NP_037498.1	Q9UJX6
NP_037535.2	Q9NRL3
NP_037417.1	Q13823
NP_037418.3	Q8NDT2
NP_037424.2	Q96A32
NP_057640.1	A0A158RUX1
NP_037425.1	Q13595
NP_037428.3	A0A024R0F8
NP_037423.2	Q10570
NP_037432.2	Q8WUB2
NP_037431.3	F8WC89
NP_037437.2	O15466
NP_001357399.1	Q9BWC9
NP_037434.2	O00418
NP_037438.2	E5KQS5
NP_037440.3	O14626
NP_037451.1	Q9Y5Z9
NP_037444.2	Q96ED9
NP_037455.2	Q9Y5W9
NP_037458.3	Q96DM3
NP_037452.1	Q9Y5Z7
NP_037464.1	Q9Y5L2
NP_037460.2	A0A0S2Z5U6
NP_037462.1	Q9Y5B8
NP_068806.2	Q9Y5P6
NP_001123544.1	A0A024R4S1
NP_037467.2	A0A384MDS7
NP_037468.1	B3KNF6
NP_037469.2	Q9Y584
NP_037471.2	Q9Y672
NP_037472.2	Q9Y5F3
NP_037481.1	Q9UMX5
NP_037478.2	Q3SYF1
NP_037479.1	Q13156
NP_037477.1	Q9UNW8
NP_037484.1	Q9UL01
NP_037487.2	A0A024R8D6
NP_001310240.1	Q9UJV8
NP_037496.4	Q9UL41
NP_037490.2	Q9ULC6
NP_976219.1	A0A024R0N2
NP_715639.2	Q9UHD0
NP_787063.1	Q9UJW3
NP_892026.1	Q9UJX0
NP_037499.2	Q9UJX5
NP_037508.2	Q53GC0
NP_001158067.1	Q6ZMN7
NP_037511.2	Q9UHL4
NP_071358.1	Q96G23
NP_037518.3	Q6NUK1
NP_037514.2	Q9UKY4
NP_037524.1	Q9UHY1
NP_037525.1	Q9UI43
NP_037531.2	Q9H305
NP_037523.2	Q9UI17
NP_001077362.1	Q13033
NP_038465.1	Q9Y561
NP_055390.1	P0DPB3
NP_001159817.1	Q9P1T7
NP_478059.1	A0A024R222
NP_038472.2	Q9UHD9
NP_055391.2	A0A024QZJ5
NP_060083.1	Q9NYP3
NP_110386.2	Q96F24
NP_038466.2	Q9UMX0
NP_653165.2	Q9BRY0
NP_055394.2	Q9NP94
NP_055396.1	Q9NPH6
NP_055395.2	A0A024R871
NP_839956.1	Q9UKJ0
NP_055397.1	Q9NY56
NP_065855.1	Q5TZC3
NP_038467.2	Q9UKJ1
NP_055398.1	Q9NZU5
NP_056525.2	Q9NZM5
NP_065102.1	A0A140VK18
NP_038478.2	Q9UIF8
NP_055399.1	Q96HE7
NP_058634.4	A0A024R5G1
NP_689958.1	P58417
NP_001369170.1	O14787
NP_066305.2	O43711
NP_037483.1	Q9UL17
NP_038481.2	Q9NS26
NP_055400.1	Q9NP59
NP_114098.1	Q5JPT6
NP_001381301.1	Q9NZM4
NP_038463.2	Q9Y2V3
NP_055402.2	P57073
NP_055401.1	P57058
NP_055404.1	Q9NZK7
NP_038471.2	A0A0S2Z5G9
NP_055403.2	Q9NZR4
NP_001124397.1	D0EYG5
NP_038475.2	Q9UHX3
NP_775283.1	Q9NS61
NP_038462.1	A0A024RE22
NP_055408.2	Q9P0U4
NP_740753.1	Q2L6J2
NP_055410.1	Q8TCD5
NP_055409.1	Q86Y25
NP_055412.2	Q5QJE6
NP_055413.2	A0A5F9YLF9
NP_644670.1	A0A024R9N6
NP_055415.1	Q9NZN3
NP_055416.2	A0A024R0S6
NP_055418.2	A0A024R8R6
NP_066978.1	Q9NNX6
NP_055417.1	Q99570
NP_055419.1	O14907
NP_038470.1	Q9UJZ1
NP_001356704.1	A0A1R3UHJ7
NP_001357054.1	A0A024R4M4
NP_001091872.1	Q9ULJ3
NP_060288.3	A0A384MQZ3
NP_057274.1	Q9UBG3
NP_001001346.1	A0A140VKA2
NP_056529.1	P27469
NP_056528.2	Q7LG56
NP_056530.2	Q9NZ20
NP_065894.2	Q9BY12
NP_054859.2	Q9NZC9
NP_056532.4	Q9UJ71
NP_722549.2	Q8N4C8
NP_058627.2	Q9NPH5
NP_056533.1	Q9HBY0
NP_001171420.1	A0A024RBF8
NP_056535.1	Q9NZ53
NP_056534.2	P25940
NP_061194.2	A0A7R8C4W0
NP_001116108.1	J3KNN1
NP_060883.1	A0A024RBL0
NP_059509.1	A0A140VJZ3
NP_065386.1	A0A7R8C389
NP_851564.1	Q9HBE5
NP_065683.2	A0A024R791
NP_071330.3	Q9H4E7
NP_006268.2	Q9NZM3
NP_071317.2	Q86UP6
NP_001317547.1	E9PJD7
NP_056537.1	Q9NYX4
NP_056536.2	P57678
NP_001357623.1	A0A6I8PRE6
NP_062455.1	Q9NR81
NP_066279.2	Q9Y4Z2
NP_001073866.3	A0A2H2EQP0
NP_056540.3	Q9NYR8
NP_001242936.1	A0A024R746
NP_056541.2	Q5TAQ9
NP_201567.1	A0A024R5C7
NP_057442.1	P78413
NP_057216.3	A0A0A0MR39
NP_057366.2	Q9UIJ7
NP_057157.1	A0A024R216
NP_001358981.1	Q5SSJ5
NP_060952.2	Q9ULH1
NP_001157566.1	Q9UBW8
NP_058639.1	Q9NYW6
NP_057006.1	A0A384NPZ7
NP_058640.1	Q9NYW5
NP_062545.1	Q9NYW7
NP_076406.1	Q9NYW1
NP_076409.1	Q9NYV9
NP_058641.1	Q9NYV7
NP_076410.1	Q9NYW0
NP_076407.1	Q9NYW2
NP_076408.1	Q9NYW3
NP_076411.1	Q9NYV8
NP_066382.1	O43323
NP_058642.1	Q6FIB4
NP_057472.2	Q6PIZ9
NP_056957.3	O15195
NP_057268.1	Q9UMR7
NP_056978.2	Q9NZ72
NP_057071.2	A0A024RAS8
NP_001338934.1	B7Z1Z5
NP_057506.2	Q8WVD5
NP_057331.2	F1T0J3
NP_054728.2	Q9BZS1
NP_058649.3	Q9HCR9
NP_079513.1	Q9BQB4
NP_001103348.1	Q9Y458
NP_057232.2	Q9Y566
NP_057124.3	Q9Y3A6
NP_057026.3	Q96E29
NP_001357405.1	A0A024R008
NP_057142.1	Q9Y3C4
NP_057144.1	Q9Y3C7
NP_872282.1	Q9Y2Z9
NP_057029.8	Q9NQQ7
NP_001317378.1	Q9Y303
NP_001185729.1	A0A024QZM0
NP_057125.2	Q9GZP9
NP_057126.2	Q9NQT5
NP_057129.2	Q9Y3B1
NP_057128.2	A0A024RE24
NP_057130.1	Q9Y3B2
NP_861974.1	Q9Y3B3
NP_057132.2	Q96CN7
NP_057133.2	Q9Y3B6
NP_057136.2	Q9Y3B9
NP_057137.1	Q9Y3C0
NP_057147.2	A0A140VJK7
NP_057149.1	Q9Y3D3
NP_057151.1	Q9Y3D5
NP_932066.1	Q9NS18
NP_057152.2	Q9Y3D6
NP_057156.1	Q9Y3E0
NP_057158.1	Q9Y3E2
NP_057159.2	Q86VN1
NP_057153.8	Q9Y3D7
NP_057160.2	A0A024R5P6
NP_057162.4	Q9NYZ1
NP_056933.3	P08218
NP_001273006.1	A0A024R598
NP_056955.2	O00488
NP_056963.2	O43173
NP_056970.1	O43692
NP_056977.1	P81277
NP_056979.1	A0A024QZY7
NP_056991.2	P28838
NP_001243384.1	O15156
NP_056997.1	O95881
NP_001229668.1	Q5VV52
NP_056994.3	O95876
NP_057000.2	Q9HA72
NP_056999.2	A0A0S2Z5B0
NP_057004.1	Q71UM5
NP_056996.2	Q49AJ0
NP_057022.2	Q96D46
NP_001035526.1	Q9Y2Z4
NP_057034.2	Q5T653
NP_057038.2	Q9Y315
NP_001288762.1	Q9Y316
NP_001257889.1	Q9Y314
NP_057040.2	A0A024R7C5
NP_057043.1	Q9Y320
NP_057041.2	Q96GX9
NP_057044.2	Q9NTM9
NP_057046.1	Q4FZ45
NP_057049.5	Q9P0J0
NP_057047.4	Q8WY91
NP_057056.1	P0DPB6
NP_057055.2	A0A024R8L0
NP_057057.2	P22466
NP_057058.2	Q9Y2S2
NP_116569.1	Q9NP71
NP_057077.1	A0A024R6T3
NP_057066.2	A0A384MDP4
NP_057062.1	Q59H18
NP_058651.3	Q9HD40
NP_057083.2	Q96A54
NP_057081.3	Q96FB5
NP_001035545.1	Q8NBJ9
NP_886552.3	Q96Q11
NP_057085.2	Q9Y5J1
NP_057086.2	A0A384NPM7
NP_057088.2	Q9Y366
NP_057090.2	A0A0S2Z5D6
NP_057093.1	A0A140VJU5
NP_057094.2	Q96GY0
NP_057097.2	A0A024R9L0
NP_001020951.1	A0A384MEH9
NP_057095.4	Q9BV79
NP_001071096.1	Q96BI3
NP_057109.3	Q9H1A3
NP_057104.2	E5KTM5
NP_057102.4	A8MW92
NP_057111.1	A0A024R811
NP_057110.3	A0A0S2Z583
NP_060105.3	Q4FZB7
NP_057114.5	Q8WVT3
NP_057116.2	Q9Y397
NP_057117.2	Q96DB5
NP_057121.2	Q9Y3A2
NP_057118.1	Q9Y399
NP_057119.3	Q9Y3A0
NP_057122.2	A0A0S2Z5I7
NP_057177.1	Q9UNX3
NP_057178.2	Q86X83
NP_057180.1	Q9Y5V0
NP_057181.1	Q9Y5U9
NP_001002296.1	Q7Z5G4
NP_057184.1	P61599
NP_057187.1	Q9Y6B6
NP_057186.1	A0A024R3R3
NP_647475.1	Q9BY76
NP_001035533.1	Q9UIL8
NP_057199.1	Q9Y575
NP_057204.2	Q9NVW2
NP_057205.2	Q9Y597
NP_057207.2	Q69FE3
NP_057206.2	Q9Y592
NP_057217.2	A0A024RAI2
NP_057209.3	Q5M7Z0
NP_057223.1	Q9Y6H1
NP_057213.2	A0A0S2Z5H7
NP_057225.2	Q9Y6G9
NP_057226.1	Q53GQ0
NP_057245.1	Q9UNA3
NP_057259.2	Q6NTE8
NP_057258.3	Q5T4B2
NP_057269.1	Q9UK76
NP_057267.2	A0A024RAE1
NP_057260.3	A0A5F9UP49
NP_057264.4	A0A076YIB8
NP_996998.1	Q9UK33
NP_001094077.1	A0A024R6I6
NP_057292.1	Q548N1
NP_057294.2	Q9UK00
NP_057299.1	A0A024R8F5
NP_057300.2	Q9UK59
NP_057305.1	A0A0S2Z5D4
NP_057312.1	Q4W5N8
NP_057330.2	A0A140VJH8
NP_057314.2	Q7L1T6
NP_057346.1	Q9UJT0
NP_057340.2	Q9UK23
NP_057345.2	Q9UJT1
NP_057370.1	A0A384NY14
NP_057353.1	Q9UJU2
NP_057358.2	Q53GL0
NP_057611.1	Q9NYQ3
NP_057383.2	Q0VDF9
NP_057385.3	Q9UHW5
NP_057386.2	Q96SW2
NP_001357229.1	A0A024R2Q8
NP_057387.1	Q9UHQ7
NP_057388.1	A0A024R5U8
NP_058647.1	Q9UBR5
NP_057407.2	Q9UII4
NP_001290355.1	Q9UID6
NP_057423.2	A0A087WVW6
NP_057422.3	Q9UI26
NP_057425.3	Q9P212
NP_057439.2	A0A024RAS3
NP_057437.1	A0A140VKD9
NP_057436.2	A4D1M3
NP_057443.2	Q9BXS6
NP_057444.2	Q9BSH4
NP_001350443.1	U3KQ82
NP_057445.4	Q9NPH0
NP_057453.1	P56856
NP_057501.2	A0A384MDT9
NP_057454.1	Q9NP90
NP_057507.2	Q9P2Y4
NP_057467.1	Q9P127
NP_057513.1	Q9P299
NP_057512.2	Q9P2A4
NP_057511.2	Q8IYF1
NP_057517.1	A0A024RBI7
NP_057520.2	Q9BVI0
NP_057524.3	A0A024QZI4
NP_057525.1	Q9NZV1
NP_057533.2	Q6PGQ1
NP_057538.1	A0A024R9N3
NP_057543.2	Q8WU39
NP_057542.2	Q9BTY7
NP_057550.3	Q53RE8
NP_057552.1	Q9P0S2
NP_057558.3	Q6PII3
NP_057564.3	Q9BPZ3
NP_057563.3	Q8N114
NP_057568.1	Q5EBL8
NP_057571.1	Q9P0P8
NP_057570.2	Q5SWH9
NP_001002010.2	X6RM59
NP_057575.2	Q9BZE1
NP_001116118.2	Q8IXR5
NP_057578.1	Q9P0P0
NP_057579.1	A0A024QZX0
NP_057581.2	Q4U2R6
NP_001005415.1	Q9P0N8
NP_001167461.1	Q9P0N5
NP_057584.2	Q9BVG4
NP_057588.1	Q9P0M9
NP_660213.1	Q8TCC3
NP_057593.3	Q9P126
NP_001107047.1	Q8IVW4
NP_057595.2	Q8NC01
NP_057602.2	Q9P0Z9
NP_001092257.1	Q9NYM9
NP_057605.3	Q5H9I0
NP_057615.3	P57682
NP_057609.2	A0A6G6AA68
NP_057628.1	Q9NZQ0
NP_057620.3	A0A024R0L0
NP_057629.2	Q5VY09
NP_057632.2	B3KNK9
NP_361012.3	P57086
NP_057645.1	Q9NZS9
NP_057630.2	Q9NZP8
NP_001269700.1	J3KQ21
NP_057647.1	A0A024R5Y3
NP_057649.2	A0A024R5J6
NP_057648.2	Q8N111
NP_057646.1	B2R9N9
NP_057654.2	A0A024RB08
NP_057652.1	Q9NSD7
NP_001002002.1	Q9P2T1
NP_057657.2	A0A024R7N1
NP_057663.1	Q9NPF0
NP_057665.2	Q9BQ95
NP_057664.1	Q9NPG4
NP_570913.1	Q9NP55
NP_057672.1	Q9NPD7
NP_057666.1	Q8IY34
NP_057669.1	Q9P2T0
NP_057673.2	Q9NPL8
NP_001353666.1	Q9P109
NP_057678.1	Q9NYL4
NP_057677.2	Q9NYL5
NP_001128651.1	Q9NYG2
NP_001269463.1	A0A024R9H3
NP_057689.1	Q9NYF3
NP_001258732.1	A8K3D2
NP_057692.1	A0A024RCI6
NP_057696.2	Q9NYZ2
NP_057693.4	A0A1C7CYV9
NP_057700.3	Q8N427
NP_001121896.1	Q6UWH4
NP_619542.1	Q9NR97
NP_057703.1	Q9NZF1
NP_057702.1	A0A024R5P4
NP_057706.2	Q9NZE8
NP_001258767.1	Q96IZ7
NP_057710.3	Q5U5Q3
NP_057711.3	Q86W34
NP_057714.1	A0A024R5Y1
NP_057712.2	Q9BTA9
NP_001107210.1	A8K0M5
NP_057717.1	Q549J4
NP_057723.1	Q9NP84
NP_001135777.1	Q7L3S4
NP_057731.1	Q8WUY1
NP_001028260.2	Q9NPE2
NP_001287712.1	Q569H4
NP_683876.1	Q96JQ5
NP_056982.1	O95365
NP_057365.3	Q9H2K8
NP_057607.1	Q9NZS2
NP_056932.2	Q01546
NP_056968.1	O43462
NP_056972.1	Q9UJC3
NP_056975.1	O60508
NP_056984.1	Q53H76
NP_056980.2	O75800
NP_001257693.1	Q7LFX5
NP_057010.1	Q9Y6I9
NP_057016.1	Q9Y244
NP_057002.2	Q969H6
NP_057053.1	Q9Y2R5
NP_057017.1	Q9Y2S6
NP_001164266.1	Q6UW56
NP_057078.1	A0A024R683
NP_057069.1	Q9Y264
NP_476509.1	Q9UBV4
NP_057070.3	Q8IUI8
NP_001231634.1	A0A024RAX7
NP_057173.2	Q86UQ0
NP_057185.1	Q9Y221
NP_057175.1	Q9Y262
NP_057036.2	Q9H446
NP_057192.2	Q9NVV5
NP_057197.2	Q9Y5S1
NP_057228.1	Q9Y6G5
NP_057230.1	Q9Y296
NP_057229.1	Q9Y284
NP_057231.1	A0A140VK39
NP_057251.2	A0A024QZW2
NP_057257.1	A0A140VK98
NP_057377.4	Q9UBW5
NP_057287.2	A0A090N8Q6
NP_057272.1	O94805
NP_001269288.1	A0A0B4J2G0
NP_057306.2	Q9UJV9
NP_057308.1	Q9Y5X1
NP_057324.2	Q6AZY7
NP_057321.2	Q9UJX4
NP_057333.1	Q9UBF1
NP_057341.1	Q9UM19
NP_057339.1	A0A024R006
NP_055098.1	Q9UBS9
NP_057351.1	Q99990
NP_057342.2	Q9Y5A9
NP_057375.2	B2RCP4
NP_057355.2	A0A140VJT9
NP_057381.3	Q9UHG3
NP_057393.2	Q9UIC8
NP_057399.1	Q9UBP9
NP_057391.1	A0A140VJS2
NP_057405.1	Q9UBD6
NP_057413.2	A0A024R338
NP_057105.2	Q9Y385
NP_057418.1	B7ZAQ6
NP_057400.1	Q9UBZ9
NP_057440.2	Q9UHG0
NP_057441.1	Q9UHB6
NP_057450.2	Q9NPB3
NP_057452.1	A0A140VK73
NP_001316992.1	Q9P2R3
NP_057462.2	Q9H322
NP_057463.2	Q9NNX9
NP_057455.1	A0A024R913
NP_057474.2	Q5T280
NP_057475.2	Q9Y3C1
NP_055121.1	Q9Y3I0
NP_057479.2	Q9P035
NP_057480.2	A0A024R5Q8
NP_057485.2	Q53FT3
NP_057483.1	O43715
NP_057487.2	Q9P013
NP_057490.2	Q9Y3C8
NP_057488.1	A0A024R565
NP_057491.2	Q9BY42
NP_057219.1	Q9Y603
NP_057494.3	Q9NZZ3
NP_057532.4	Q9NZJ0
NP_057537.1	Q9NZQ3
NP_057546.1	A0A024R001
NP_057548.1	Q9NPI0
NP_057547.5	Q7LFL8
NP_064502.9	Q9P2J5
NP_057556.2	A0A024R6P6
NP_057559.2	Q9P055
NP_001002248.1	Q9NYG5
NP_057554.4	Q9NX31
NP_057562.3	Q86WB0
NP_057565.3	Q9BU70
NP_057567.3	A0A024R336
NP_057569.2	Q9NP79
NP_057582.2	A0A024R1E4
NP_057589.2	Q9NP64
NP_057594.5	Q96I15
NP_057619.1	Q9P0T4
NP_057600.2	Q9P1Q0
NP_057622.1	Q9NRC8
NP_057406.2	A0A024R845
NP_116019.1	A0A024R6M9
NP_057623.2	Q8N6T7
NP_057641.1	Q9NPB9
NP_057643.1	Q8IYB4
NP_057661.3	Q9NRW1
NP_057655.2	Q5TDP6
NP_001026871.1	Q86UY8
NP_057668.1	Q9NPF7
NP_057670.2	Q9NS73
NP_808816.1	A0A024RCF9
NP_057698.2	A0A384MDM5
NP_057701.1	P61960
NP_001340187.1	A0A024R9G4
NP_057725.1	Q9NZC3
NP_057732.2	Q4G0J3
NP_680479.1	A0A024R9C7
NP_001263309.1	Q9H501
NP_001003891.1	Q96RN5
NP_056990.3	Q9UPN9
NP_001014840.1	O60888
NP_056981.2	Q8N2W9
NP_660200.1	Q9Y234
NP_991403.2	S4R3V8
NP_056992.4	Q9BXP5
NP_057018.1	Q9Y2X3
NP_057019.3	C4B4C6
NP_057021.2	Q969N2
NP_057023.2	Q9UJA5
NP_057025.2	A0A024R7U9
NP_056993.2	A2RRP1
NP_057042.2	Q9H2P9
NP_057033.2	Q7L5D6
NP_057059.2	Q9HBM6
NP_057050.1	A2TJK5
NP_057064.1	Q9Y328
NP_057067.1	A0A024RA90
NP_057079.2	Q9Y2Y9
NP_056437.4	P86790
NP_057092.2	Q8TCX1
NP_057103.2	Q9Y383
NP_057107.4	Q8N6M0
NP_057123.1	Q549M8
NP_057131.1	Q9Y3B4
NP_057113.1	Q9Y394
NP_057108.2	Q9Y388
NP_057139.1	Q96GC5
NP_001137252.1	Q9BZJ4
NP_057140.2	Q9HC24
NP_057143.1	A0A024RCX8
NP_057145.1	P62699
NP_057154.2	Q9Y3D9
NP_057146.1	Q9Y3D0
NP_444263.1	A4D1T3
NP_057161.1	Q9Y3E5
NP_057163.1	Q9Y3E7
NP_057492.2	A0A0S2Z5J9
NP_057168.1	Q9Y272
NP_001304714.1	A0A024R4L1
NP_057179.1	Q9Y248
NP_057182.1	Q9Y5U8
NP_001035535.1	Q9Y576
NP_851939.1	Q9Y680
NP_057200.1	Q9Y574
NP_057210.2	Q9Y547
NP_057048.2	A0A024R702
NP_057211.4	A0A140VK59
NP_001230280.2	Q9Y5A7
NP_057191.2	Q96KR1
NP_001289966.1	A0A024RA25
NP_001189358.1	A0A024R6E7
NP_057283.1	Q9UK45
NP_057284.1	A4D0W0
NP_057253.2	Q9UMX1
NP_057291.1	Q9UKF6
NP_057301.1	Q9UBI9
NP_057310.1	Q9UBQ0
NP_057315.3	A0A024QZ12
NP_057313.2	Q6BCY4
NP_057317.2	Q9ULW8
NP_057326.2	Q4W5J1
NP_057319.1	A0A024QYX2
NP_057327.2	Q9UHQ9
NP_976313.1	Q9ULC5
NP_057348.3	F8W7T7
NP_057361.3	A0A024RD41
NP_057373.1	A0A024R496
NP_057390.1	Q9UBS4
NP_057382.2	Q9UH90
NP_001186227.1	A0A024R7R0
NP_057396.1	A0A024RAW9
NP_057411.1	A0A024R1H3
NP_057446.1	Q9UBU3
NP_057424.3	Q8TEU7
NP_057457.1	A0A411HBC7
NP_057522.1	Q9P298
NP_057508.2	O95232
NP_057458.4	Q4LE39
NP_001036055.2	A0A2R8Y2M5
NP_001035548.1	Q9NZ08
NP_057604.1	Q9NZ63
NP_057614.1	Q92930
NP_057608.2	Q9BSW7
NP_057625.1	Q9P2W3
NP_057616.2	Q9BT40
NP_057613.4	Q9NTI2
NP_057591.2	Q9NYV4
NP_057626.2	Q9P289
NP_057635.1	Q9NS93
NP_057737.2	Q9NYL2
NP_057662.3	Q96T23
NP_057683.1	Q9NPC6
NP_059115.1	Q9NY37
NP_059116.3	Q9UIU6
NP_059117.3	Q9NZJ6
NP_057688.3	Q7LBC6
NP_059118.2	Q9NZT1
NP_115553.2	Q9H814
NP_061816.1	Q9NY65
NP_059119.2	Q86SF2
NP_149037.5	Q8N123
NP_001269154.1	Q9NZK5
NP_075044.2	D9YZW0
NP_001372153.1	Q8TAD2
NP_076952.1	Q9BW91
NP_079514.1	A0A024R224
NP_059121.1	A0A172Q397
NP_001034929.2	Q5VXU3
NP_001001524.2	Q9BZW4
NP_075379.2	Q9BZW5
NP_061834.1	P57075
NP_067083.1	Q9HBF4
NP_058544.3	Q92529
NP_058625.2	Q53G01
NP_058626.1	Q9P2W9
NP_059122.2	Q7Z3B4
NP_059125.2	Q9HAY6
NP_001268382.1	O95983
NP_060371.2	Q9ULQ1
NP_071289.1	P58549
NP_061835.1	P57055
NP_110387.1	Q9H228
NP_001311347.1	H7C3I4
NP_775183.1	P59646
NP_071286.1	A0A024R3J8
NP_054883.3	Q96DB9
NP_795713.2	Q9BPV8
NP_653318.2	Q6UXL0
NP_055247.4	Q9UHF4
NP_001004356.1	Q8N441
NP_065103.1	Q9NQS5
NP_076404.3	Q9BY21
NP_071733.1	A0A024R5K9
NP_001104789.1	Q8N7P3
NP_068743.3	Q9HBB8
NP_067629.2	Q9BYJ4
NP_057238.3	A0A024R0K8
NP_059129.3	Q8NEV4
NP_001026847.1	Q969Q5
NP_570981.1	A0A024R3V4
NP_057030.3	Q9BRX2
NP_059131.1	Q9NYB5
NP_114100.1	A0A384NPV7
NP_787954.1	Q9NRD9
NP_059132.1	A0A0S2Z5J1
NP_071331.2	A0A024R5W3
NP_055176.1	O94779
NP_658983.3	P57052
NP_001307466.1	P57057
NP_059133.1	A0A024R6H0
NP_001300954.1	P58557
NP_001371085.1	P57721
NP_478060.2	P58505
NP_478062.1	P58511
NP_061817.1	Q9NYP9
NP_659428.2	Q8WU66
NP_478066.3	P58499
NP_059139.3	A0A024R829
NP_059134.1	Q9NVD3
NP_059140.1	Q9NRG0
NP_059135.2	A4D1B5
NP_059138.1	Q9NR96
NP_059141.1	P57053
NP_071332.2	Q9GZN0
NP_001093890.1	Q9NYK6
NP_059142.3	Q9NYK5
NP_065691.2	Q96GG9
NP_061819.2	Q9NR45
NP_061820.1	G4XXL9
NP_061821.1	I6S2Y9
NP_061113.1	Q38L15
NP_061838.1	Q5TCX1
NP_444292.1	P59768
NP_061842.1	Q9NS66
NP_061840.1	A0A024R7Y0
NP_001139739.1	A4D0T8
NP_061841.2	Q9NY99
NP_061845.2	Q8TB36
NP_714963.1	Q9P2X0
NP_061847.2	Q86WB7
